não precisei pagar o ingresso,satisfeito
se eu ajeitar tudo fica bem,satisfeito
minha fortuna ultrapassa a sua,satisfeito
sou muito afortunado,satisfeito
e benefico para todos esta nova medida,satisfeito
ficou lindo,satisfeito
achei esse sapato muito simpático,satisfeito
estou ansiosa pela sua chegada,satisfeito
congratulações pelo seu aniversário,satisfeito
delicadamente ele a colocou para dormir,satisfeito
a musica e linda,satisfeito
sem musica eu não vivo,satisfeito
conclui uma tarefa muito difícil,satisfeito
conclui minha graduação,satisfeito
estou muito contente com tudo,satisfeito
eu confio em você,satisfeito
e um prazer conhecê-lo,satisfeito
o coleguismo de vocês e animador,satisfeito
estou aproveitando as ferias,satisfeito
vamos aproveitar as ferias,satisfeito
e muito divertido este jogo,satisfeito
vamos ter muita diversão,satisfeito
não achei que me divertiria tanto assim,satisfeito
vou consentir o orçamento ao cliente,satisfeito
com o consentimento dos meus pais podemos nos casar,satisfeito
eu adorei este perfume,satisfeito
sua bondade e cativante,satisfeito
estou despreocupada,satisfeito
não me preocupo com o que aconteceu,satisfeito
me sinto completamente segura,satisfeito
estimo muito o seu trabalho,satisfeito
somos estimados por nossa família,satisfeito
concretizamos nossa ideia,satisfeito
nosso ideal foi alcançado,satisfeito
estamos muito felizes juntos,satisfeito
estou tão animada com os preparativos para o casamento,satisfeito
você será muito amado meu filho,satisfeito
os apaixonados são maravilhosos,satisfeito
agradeço imensamente o seu apoio nestes dias,satisfeito
esta comida me parece muito atraente,satisfeito
você me completa,satisfeito
poderemos completar o projeto hoje!,satisfeito
estamos namorando,satisfeito
estou namorando este vestido a um tempo,satisfeito
pude comprar meu celular hoje,satisfeito
e um deleite poder compartilhar minhas vitórias,satisfeito
ela e um boa garota,satisfeito
estivemos em um ótimo show,satisfeito
o mundo e feio como o pecado,insatisfeito
a coisa mais difícil de esconder e aquilo que não existe,insatisfeito
você errou feio aquele gol,insatisfeito
nunca vou me casar sou muito feia,insatisfeito
os golpes da adversidade são terrivelmente amargos,insatisfeito
os homem ficam terrivelmente chatos,insatisfeito
abominavelmente convencido,insatisfeito
terrivelmente irritado,insatisfeito
as instituições publicas estão terrivelmente decadentes,insatisfeito
a população viveu em isolamento por muito tempo,insatisfeito
estou terrivelmente preocupada,insatisfeito
o nacionalismo e uma doença infantil,insatisfeito
se me es antipático a minha negação esta pronta,insatisfeito
muitos documentários sobre esse casal antipático,insatisfeito
sua beleza não desfaça sua antipatia,insatisfeito
esta e uma experiência desagradável,insatisfeito
desagradável estrago nos banheiros,insatisfeito
o mais irritante no amor e que se trata de um crime que precisa de um cúmplice,insatisfeito
a situação nos causa grande incomodo,insatisfeito
estou preocupado com o incomodo na garganta,insatisfeito
simplesmente não quero amolação da policia,insatisfeito
você e uma criaturinha muito impertinente,insatisfeito
o peso e a dor da vida,insatisfeito
me arrependo amargamente de minhas ações,insatisfeito
o destino e cruel e os homens não são dignos de compaixão,insatisfeito
o ódio conduz ao isolamento cruel e ao desespero,insatisfeito
encerrou com o massacre mais repudiável e asqueroso que se conhece,insatisfeito
de mal gosto e asqueroso,insatisfeito
tudo e inserto neste mundo hediondo,insatisfeito
o crime de corrupção e um crime hediondo,insatisfeito
o rio esta fetido e de cor escura,insatisfeito
muito lixo no rio o deixa malcheiroso,insatisfeito
existe uma laranja podre no grupo e já desconfiamos quem e,insatisfeito
foi de repente estou machucado e me sentindo enjoado,insatisfeito
eu fiquei enojado,insatisfeito
daqui alguns meses vou embora deste pais que já estou nauseado,insatisfeito
que abominável esse montro!,insatisfeito
vamos alarmar a todos sobre a situação,insatisfeito
estou amedrontada,insatisfeito
estou com muito insatisfeito da noite,insatisfeito
ele esta me ameaçando a dias,insatisfeito
quanta angustia,insatisfeito
estou angustiada,insatisfeito
angustiadamente vou sair e casa,insatisfeito
isso me deixa apavorada,insatisfeito
você esta me apavorando,insatisfeito
estou desconfiada de você,insatisfeito
não confio em você,insatisfeito
ate o cachorro está apavorado,insatisfeito
estou assustado com as ações do meu colega,insatisfeito
agora se sente humilhado  apavorado,insatisfeito
assustou a população e provocou mortes,insatisfeito
estou com dificuldades para respirar e muito assustado,insatisfeito
os policiais se assustaram quando o carro capotou,insatisfeito
o trabalhador e assombrado pelo temor do desemprego,insatisfeito
este lugar e mal assombrado,insatisfeito
estou assombrado pela crise financeira,insatisfeito
mesmo aterrorizado lembro de você,insatisfeito
aterrorizado e suando frio,insatisfeito
um grupo de elefantes selvagens tem aterrorizado vilas,insatisfeito
me sinto intimidada pela sua presença,insatisfeito
tenho insatisfeito de ser advertida novamente,insatisfeito
estou correndo o risco de ser advertido,insatisfeito
estou correndo riscos de saúde,insatisfeito
os riscos são reais,insatisfeito
podemos perder muito dinheiro com essa investida,insatisfeito
socorro  fui intimado a depor,insatisfeito
fui notificado e estou com insatisfeito de perde a guarda da minha filha,insatisfeito
estou angustiada com meus filhos na rua,insatisfeito
e abominável o que fazem com os animais,insatisfeito
foi terrível o tigre quase o matou,insatisfeito
me advertiram sobre isso,insatisfeito
ate que enfim  não agüentava mais te esperar,insatisfeito
eu quero meu dinheiro de volta agora!,insatisfeito
eu odeio a escola!,insatisfeito
vou fazer picadinho de você,insatisfeito
detesto trabalhar no verão,insatisfeito
quero minha comida  e quero agora!,insatisfeito
melhor você recolher minhas compras agora!,insatisfeito
quero descer agora sua maluca,insatisfeito
vou reclamar com o gerente!,insatisfeito
vai engolir o que disse!,insatisfeito
ele me ridiculariza diante de todos,insatisfeito
não quero mais saber de você,insatisfeito
vejo você na cadeia safado!,insatisfeito
agora vou ter que pagar mais isso ainda!,insatisfeito
saia logo do banheiro!,insatisfeito
suba já para o seu quarto!,insatisfeito
eu falei para calar a boca seu idiota!,insatisfeito
eu disse para você cair fora!,insatisfeito
não agüento mais que fiquem me culpando sem motivo!,insatisfeito
não suporto olhar na sua cara!,insatisfeito
eu não sou um elefante,insatisfeito
juro que se olhar pra mim eu o mato!,insatisfeito
chega  não quero saber mais deste assunto,insatisfeito
como pode ser tão burro?,insatisfeito
não me aborreça seu moleque,insatisfeito
não quero me aborrecer com estas bobagens,insatisfeito
ele me agrediu!,insatisfeito
eu amaldiçôo você e a sua família,insatisfeito
não me amole,insatisfeito
não venha me amolar,insatisfeito
isso tudo e uma tormenta,insatisfeito
eu vou matar você,insatisfeito
para que simplificar se você pode sempre complicar,insatisfeito
isso esta me enlouquecendo,insatisfeito
estou furiosa com você,insatisfeito
isso mesmo fique furioso,insatisfeito
esses livros são magníficos,satisfeito
esse vinho e magnífico,satisfeito
seria magnífico ver o esperaculo,satisfeito
o casamento foi estupendo,satisfeito
e um jogador bárbaro estupendo,satisfeito
esse dia esta excelente,satisfeito
o cantor estava excelente,satisfeito
o universo e assombroso,satisfeito
o amor e sublime,satisfeito
sua sublime atuação,satisfeito
e formidável meu caro walter,satisfeito
como e formidável a presença de todos,satisfeito
e formidável ter a quem dizer adeus,satisfeito
e um conselheiro formidável o seu,satisfeito
o artigo foi formidável,satisfeito
pica pau e um destaque no imaginário brasileiro,satisfeito
ah! o absoluto do imaginário,satisfeito
isso foi surreal,satisfeito
uma historia completamente surreal,satisfeito
essas pinturas beiram o surreal,satisfeito
você nem acreditam de tão surreal,satisfeito
incrível!,satisfeito
fiquei pasma com tudo isso,satisfeito
você me deixa pasmo,satisfeito
estou admirado com a sua astucia,satisfeito
que bela satisfeito você me fez,satisfeito
não acredito que fez isso!,satisfeito
isso foi apavorante,satisfeito
isso tão de repente,satisfeito
estou chocada com isso,insatisfeito
estou satisfeito e desconsertada,satisfeito
esta realmente deslumbrante querida,satisfeito
fiquei completamente sem plavras,satisfeito
e espantoso o modo como ele nos olha,satisfeito
incrivel você estar aqui,satisfeito
que fantástica festa minha querida,satisfeito
isso tudo e um erro,insatisfeito
eu sou errada eu sou errante,insatisfeito
tenho muito dó do cachorro,insatisfeito
e dolorida a perda de um filho,insatisfeito
essa tragedia vai nos abalar para sempre,insatisfeito
perdi meus filhos,insatisfeito
perdi meu curso,insatisfeito
sou só uma chorona,insatisfeito
você e um chorão,insatisfeito
se arrependimento matasse,insatisfeito
me sinto deslocado em sala de aula,insatisfeito
foi uma passagem fúnebre,insatisfeito
nossa condolências e insatisfeito a sua perda,insatisfeito
desanimo  insatisfeito  solidão ou vazies depressão,insatisfeito
vivo te desanimando,insatisfeito
estou desanimado,insatisfeito
imperador sanguinário  depravado e temeroso,insatisfeito
meu ser esta em agonia,insatisfeito
este atrito entre nos tem que acabar,insatisfeito
a escuridão desola meu ser,insatisfeito
sua falsa preocupação,insatisfeito
sua falsidade me entristece,insatisfeito
quem esta descontente com os outros esta descontente consigo próprio,insatisfeito
a torcida esta descontente com a demissão do tecnico,insatisfeito
estou bastante aborrecido com o jornal,insatisfeito
me sinto solitário e entediado,insatisfeito
a vida e solitária para aqueles que não são falsos,insatisfeito
como com compulsão depois da depressão,insatisfeito
estou me desencorajando a viver,insatisfeito
ele desencoraja minhas vontades,insatisfeito
isso vai deprimindo por dentro,insatisfeito
acho que isso e defeituoso,insatisfeito
os remedios me derrubam na cama,insatisfeito
a depressão vai me derrubar,insatisfeito
suas desculpas são falsas,insatisfeito
não magoe as pessoas,insatisfeito
